product_id,product_name,brand,category,routine_lane,current_status,affiliate_link,official_product_source,official_image_source,priority,notes
biodance-mask,Bio-Collagen Real Deep Mask,Biodance,K-beauty,Glass skin night routine,active,https://amzn.to/49AN39J,https://biodance.com/products/biodance-bio-collagen-real-deep-mask,https://biodance.com/cdn/shop/files/2510_4_388c8df8-fc8d-45eb-af91-a9d884fad801.jpg?v=1761116311&width=1200,A,Official brand page used for product reference.
elemis-cleansing-balm,Pro-Collagen Cleansing Balm Makeup Remover,ELEMIS,Cleansing balm,PM first cleanse,active,https://amzn.to/3Rod1qI,https://elemis.com/eu/product/pro-collagen-cleansing-balm?bottle_size=303,"https://assets.elemis.com/image/upload/w_900,c_fill,g_auto,q_100,f_auto/assets/asset/57169121-7cd5-4100-849a-633639b404d2/60087_Pro-Collagen-Cleansing-Balm_100g_LID-ON_ROW.png",A,Amazon link resolved to ELEMIS Skincare seller.
clean-towels-xl,Clean Towels XL,Clean Skin Club,Routine hygiene,Acne basics and travel,active,https://amzn.to/4unB2fV,https://cleanskinclub.com/products/clean-towels,https://cleanskinclub.com/cdn/shop/files/FINAL_CTXL_1_1024x1024.jpg?v=1762200602,A,Provided short link resolves to Clean Skin Club Clean Towels XL.
laroche-anthelios-spf40,Anthelios Tinted Sunscreen SPF 40,La Roche-Posay,SPF,SPF under makeup,active,https://amzn.to/3RrZSg6,https://www.laroche-posay.us/our-products/sunscreen/tinted-sunscreen/anthelios-mineral-tinted-sunscreen-for-face-with-spf-883140020899.html,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwdd860fb8/product/March%202023%20packshot%20updates/883140020899-1_Anthelios50_TintedMineral_LightFluid_50ml.jpg?q=80&sfrm=jpg&sh=900&sm=cut&sw=900,A,SPF content lane for texture and makeup layering.
medicube-zero-pore-pad,Zero Pore Pad 2.0,medicube,K-beauty,Toner pads,active,https://amzn.to/4v90o1g,https://us-medicube.com/products/mcb006,https://us-medicube.com/cdn/shop/files/01_62c2252d-db74-4079-abb9-937ef5c80a2d.jpg?v=1773286279&width=900,A,Added to homepage 2026-05-25 for toner-pad routine content.
hero-mighty-patch,Mighty Patch Original,Hero Cosmetics,Acne care,Spot care,active,https://amzn.to/3RZk4WO,https://www.herocosmetics.us/products/mighty-patch-original,https://cdn.accentuate.io/11723218878506/1621370114488/Product-Thumbnail---MPO.png?v=1681752719090,A,Updated 2026-05-25 with current affiliate link.
maybelline-sky-high,Lash Sensational Sky High Mascara,Maybelline,Makeup,Makeup under 20,active,https://amzn.to/4tRt1Ph,https://www.maybelline.com/eye-makeup/mascara/lash-sensational-sky-high-washable-mascara-makeup,https://www.maybelline.com/-/media/project/loreal/brand-sites/mny/americas/us/eye-makeup/mascara/lash-sensational-sky-high-washable-mascara-makeup/new-2025/maybelline-lash-sensational-sky-high-wsh-800-blackest-black-041554590517-av11_7859306.jpg?ch=1266&cw=1244&cx=0&cy=0&hash=6E07811059DE6F890F54C34C3726524D&rev=2832ec3e142741ffbb09ace5467ea70c,A,Updated 2026-05-25 with current affiliate link and Blackest Black image.
eos-vanilla-cashmere,Shea Better Vanilla Cashmere Lotion,eos,Bodycare,Vanilla bodycare,active,https://amzn.to/42UwKRk,https://evolutionofsmooth.com/products/shea-better-body-lotion-vanilla-cashmere,https://evolutionofsmooth.com/cdn/shop/files/VanillaCashmereBL_2.jpg?v=1758024162,A,Updated 2026-05-25 with current affiliate link.
ordinary-niacinamide,Niacinamide 10% + Zinc 1%,The Ordinary,Serum,Acne and oiliness,active,https://amzn.to/4dZTCVF,https://theordinary.com/en-us/niacinamide-10-zinc-1-serum-100436.html,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dwce8a7cdf/Images/products/The%20Ordinary/rdn-niacinamide-10pct-zinc-1pct-30ml.png?sw=900&sh=900&sm=fit,A,Uploaded 2026-05-23; strong beginner serum and acne-basics lane.
ordinary-hyaluronic,HA 2% + B5 With Ceramides,The Ordinary,Hydration,Barrier hydration,bank,,https://theordinary.com/, ,B,Hydration routine and under-20 angle.
aquaphor-healing-ointment,Healing Ointment,Aquaphor,Lip/body repair,Dry lips and slugging,active,https://amzn.to/4a5EgfT,https://www.aquaphorus.com/products/aquaphor-repairing-ointment/aquaphor-healing-ointment-14oz,https://images-1.eucerin.com/~/media/eucerin%20relaunch%20media/media-center-items/c/5/b/5d8bbc31f7d44dd0963c288b416d300d-screen.jpg?db=web&hash=6405a1adcac9555f76a3d72fe78e05ba,A,Uploaded 2026-05-23; evergreen dry-skin repeat buy.
cerave-daily-lotion,Daily Moisturizing Lotion,CeraVe,Barrier care,Simple moisturizer,active,https://amzn.to/49NiX2C,https://www.cerave.com/en-us/skincare/moisturizers/daily-moisturizing-lotion,https://www.cerave.com/-/media/project/loreal/brand-sites/cerave/americas/us/products-v3/daily-moisturizing-lotion/700x700/cerave_daily_moisturizing_lotion_12oz_front_-700x700-v2.jpg?rev=5fb61e1db7fe49fb9faf308c5f583d65,A,Uploaded 2026-05-23; beginner moisturizer and barrier-care lane.
laneige-bouncy-lip,Bouncy & Firm Lip Treatment,LANEIGE,Lip care,Lip treatment,active,https://amzn.to/49ZGpcX,https://us.laneige.com/products/bouncy-firm-lip-treatment,https://us.laneige.com/cdn/shop/files/B0D84WSNQK.MAIN.jpg?v=1722537722,A,Uploaded 2026-05-23; premium lip-care and K-beauty content lane.
neutrogena-purescreen-tint,Purescreen+ Mineral UV Tint,Neutrogena,SPF,SPF tint,active,https://amzn.to/4uoa5sB,https://www.neutrogena.com/products/neutrogena-purescreen-mineral-uv-tint-face-liquid-sunscreen/6806411,https://images.ctfassets.net/bcjr30vxh6td/5E7AnnVFu20EME9N78rmqA/7e0c6d6ba27b6927bc336503c0cc6055/NTG_086800064114_US_Purescreen_Face_SPF30_Light_1.1OZ_00000.webp?fm=webp&w=1024,A,Uploaded 2026-05-23; SPF tint and makeup-layering alternative.
tower28-sos,Tower 28 SOS Daily Rescue Facial Spray,Tower 28,Face mist,Sensitive-skin reset,bank,,https://www.tower28beauty.com/, ,B,Amazon exclusive gift set mention.
anua-pdrn-spray,PDRN Collagen Glow Facial Serum Spray,Anua,K-beauty,Glow mist,bank,,https://anuashop.com/, ,B,BeautyMatter Big Spring Sale momentum.
illiyoon-ceramide-ato,Ceramide Ato Concentrate Cream,Illiyoon,K-bodycare,Barrier bodycare,bank,,https://www.illiyoon.com/, ,B,Korean bodycare trend.
sunbum-scalp-mist,Original SPF Sunscreen Scalp and Hair Mist,Sun Bum,Hair SPF,Scalp SPF,bank,,https://www.sunbum.com/, ,C,Summer hair/scalp SPF content.
touchland-sanitizer,Power Mist,Touchland,Personal care,Bag essential,bank,,https://www.touchland.com/, ,C,Useful for bag/desk essentials content.
