post_id,date,platform,format,product_id,product_name,content_angle,status,planned_pins,planned_reels,impressions,views,saves,likes,comments,shares,outbound_clicks,affiliate_clicks,notes
pin-2026-05-22-biodance,2026-05-22,Pinterest,Pin,biodance-mask,Biodance Bio-Collagen Real Deep Mask,Glass skin night routine,posted,1,0,,,,,,,,,One of four Pinterest uploads reported by user.
pin-2026-05-22-elemis,2026-05-22,Pinterest,Pin,elemis-cleansing-balm,ELEMIS Pro-Collagen Cleansing Balm,PM first cleanse and makeup removal,posted,1,0,,,,,,,,,One of four Pinterest uploads reported by user.
pin-2026-05-22-clean-towels,2026-05-22,Pinterest,Pin,clean-towels-xl,Clean Skin Club Clean Towels XL,Routine hygiene for acne-prone routines,posted,1,0,,,,,,,,,One of four Pinterest uploads reported by user.
pin-2026-05-22-laroche,2026-05-22,Pinterest,Pin,laroche-anthelios-spf40,La Roche-Posay Anthelios SPF 40,SPF texture check before makeup,posted,1,0,,,,,,,,,One of four Pinterest uploads reported by user.
ig-2026-05-22-reel-1,2026-05-22,Instagram,Reel,today-mix,Today product mix,Product Reel uploaded today,posted,0,1,,,,,,,,,Update product_id after confirming which Reel this was.
ig-2026-05-22-reel-2,2026-05-22,Instagram,Reel,today-mix,Today product mix,Product Reel uploaded today,posted,0,1,,,,,,,,,Update product_id after confirming which Reel this was.
pin-2026-05-23-ordinary-niacinamide,2026-05-23,Pinterest,Pin,ordinary-niacinamide,The Ordinary Niacinamide 10% + Zinc,Niacinamide for beginners and acne basics,posted,1,0,,,,,,,,,One of five Pinterest uploads reported by user.
pin-2026-05-23-aquaphor,2026-05-23,Pinterest,Pin,aquaphor-healing-ointment,Aquaphor Healing Ointment,Dry lips dry patches and barrier support,posted,1,0,,,,,,,,,One of five Pinterest uploads reported by user.
pin-2026-05-23-cerave,2026-05-23,Pinterest,Pin,cerave-daily-lotion,CeraVe Daily Moisturizing Lotion,Simple moisturizer and ceramide barrier routine,posted,1,0,,,,,,,,,One of five Pinterest uploads reported by user.
pin-2026-05-23-laneige-bouncy,2026-05-23,Pinterest,Pin,laneige-bouncy-lip,LANEIGE Bouncy & Firm Lip Treatment,K-beauty lip care and bag essentials,posted,1,0,,,,,,,,,One of five Pinterest uploads reported by user.
pin-2026-05-23-neutrogena-purescreen,2026-05-23,Pinterest,Pin,neutrogena-purescreen-tint,Neutrogena Purescreen+ Mineral UV Tint,Tinted SPF before makeup,posted,1,0,,,,,,,,,One of five Pinterest uploads reported by user.
ig-2026-05-23-reel-1,2026-05-23,Instagram,Reel,today-mix,Today product mix,Product Reel uploaded today,posted,0,1,,,,,,,,,Update product_id after confirming which exact product this Reel featured.
ig-2026-05-23-reel-2,2026-05-23,Instagram,Reel,today-mix,Today product mix,Product Reel uploaded today,posted,0,1,,,,,,,,,Update product_id after confirming which exact product this Reel featured.
