date,day,asset_id,platform,format,product_focus,role,content_angle,hook_or_title,visual_brief,destination,cta,expected_signal
5/26/2026,Tuesday,2026-05-26-P01,Pinterest,Pin,Hero Mighty Patch,core,Acne basics,Acne patches before another serum,Patch box flatlay with simple acne routine products,site_current_picks,Shop acne basics,save_or_click
5/26/2026,Tuesday,2026-05-26-P02,Pinterest,Pin,Hero Mighty Patch,core,Checklist,3 times I would use a pimple patch,Checklist graphic with product in corner,site_current_picks,Save this acne routine,save
5/26/2026,Tuesday,2026-05-26-P03,Pinterest,Pin,Hero Mighty Patch + Clean Towels,core,Routine bundle,Acne basics starter kit,Flatlay patch plus clean towel plus moisturizer,site_product_browser,See the starter kit,click
5/26/2026,Tuesday,2026-05-26-P04,Pinterest,Pin,ELEMIS Cleansing Balm,core,PM cleanse,PM first cleanse for makeup and SPF,Product-in-hand image similar to current top Pin,site_current_picks,Shop the PM cleanse,click
5/26/2026,Tuesday,2026-05-26-P05,Pinterest,Pin,ELEMIS + Hero,core,Roundup,2 Amazon beauty finds I would build around,Split layout cleanser balm and pimple patches,linktree_top_picks,Open current picks,click
5/26/2026,Tuesday,2026-05-26-R01,Instagram,Reel,Hero Mighty Patch,core,Acne basics,Acne basics before buying 10 actives,Hook product in hand then 3-step routine overlay,link_in_bio,Current picks in bio,non_follower_reach
5/26/2026,Tuesday,2026-05-26-R02,Instagram,Reel,ELEMIS Cleansing Balm,core,Texture demo,First cleanse texture check,Open balm texture close-up then wipe-off shot,link_in_bio,Shop PM routine,profile_click
5/27/2026,Wednesday,2026-05-27-P01,Pinterest,Pin,COSRX Snail Mucin,core,K-beauty hydration,Why snail mucin keeps showing up in glass skin routines,Product bottle with water texture background,site_current_picks,Shop K-beauty hydration,save_or_click
5/27/2026,Wednesday,2026-05-27-P02,Pinterest,Pin,COSRX Snail Mucin,core,Routine education,Where I would put snail mucin in a routine,AM PM routine order graphic,site_product_browser,Save the routine order,save
5/27/2026,Wednesday,2026-05-27-P03,Pinterest,Pin,COSRX Snail Mucin,core,Texture,Sticky texture but simple hydration lane,Close crop texture visual with bottle,site_current_picks,See the Amazon find,click
5/27/2026,Wednesday,2026-05-27-P04,Pinterest,Pin,Biodance Bio-Collagen Mask,core,Glass skin night,Glass skin night mask idea,Sheet mask packaging with soft PM routine setup,site_current_picks,Shop glass skin picks,save
5/27/2026,Wednesday,2026-05-27-P05,Pinterest,Pin,Biodance + COSRX,core,K-beauty pairing,K-beauty hydration pair I would test together,Two-product flatlay with routine arrows,site_product_browser,See K-beauty picks,click
5/27/2026,Wednesday,2026-05-27-R01,Instagram,Reel,COSRX Snail Mucin,core,Texture hook,Snail mucin routine idea for glass skin,Texture close-up plus routine step text,link_in_bio,Amazon K-beauty in bio,non_follower_reach
